question_text,option_a,option_b,option_c,option_d,correct_option,created_by,created_at,mark
What is the output of print(2**3)?,6,8,9,16,option_b,system,2025-08-16,1
Which keyword is used to define a function in Python?,func,define,def,function,option_c,system,2025-08-16,1
Which data type is immutable in Python?,list,dict,set,tuple,option_d,system,2025-08-16,1
What does len("Python") return?,5,6,7,Error,option_b,system,2025-08-16,1
Which of the following is not a Python data type?,int,float,real,dict,option_c,system,2025-08-16,1
Which operator is used for floor division?,/,//,%,**,option_b,system,2025-08-16,1
What is the default value of a variable in Python?,0,None,Null,Undefined,option_b,system,2025-08-16,1
Which of these is used to import a module?,import,include,using,require,option_a,system,2025-08-16,1
Which function is used to get user input?,scan(),input(),read(),get(),option_b,system,2025-08-16,1
What is the file extension for Python files?,.java,.py,.pt,.pyt,option_b,system,2025-08-16,1
